id;placed_date;status;code;customer_id
1;2020-01-09T05:04:15;COMPLETED;Georgia calculate withdrawal;1
2;2020-01-08T16:00:45;COMPLETED;compress Steel out-of-the-box;2
3;2020-01-08T17:31:57;PENDING;Concrete;3
4;2020-01-09T06:57:52;CANCELLED;Investment Account;4
5;2020-01-08T18:14:42;PENDING;United States of America;5
6;2020-01-09T08:26:46;CANCELLED;IB Industrial Credit Card Account;6
7;2020-01-09T11:33:11;CANCELLED;Cotton Egyptian Pound;7
8;2020-01-08T20:29:15;COMPLETED;Home Loan Account;8
9;2020-01-09T05:23:31;COMPLETED;Human;9
10;2020-01-08T15:32:09;CANCELLED;payment;10
