id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-01-08T14:27:28;payment unleash Jamaican Dollar;1
2;Rest;2020-01-09T09:43:58;Plains;2
3;Quality Plastic plum;2020-01-08T14:04:20;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-01-09T10:31:32;Architect SSL;4
5;zero tolerance;2020-01-09T07:27:51;user-facing CSS;5
6;ADP Ouguiya;2020-01-09T03:24:19;Garden;6
7;auxiliary;2020-01-09T11:40:19;functionalities Bedfordshire withdrawal;7
8;Data;2020-01-08T14:38:20;Viaduct hybrid;8
9;mesh;2020-01-09T13:03:59;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-01-09T11:02:53;Re-engineered withdrawal Ball;10
